Region,District,Chiefdom,Health Facility,Community
Eastern,Kenema,Small Bo Chiefdom,Blama CHC,Small Bo Communities
Southern,Pujehun,Soro Gbeima Chiefdom,Jendema CHC,Soro Gbeima Communities
Northern,Tonkolili,Gbokolenken Yele Chiefdom,Yele CHC,Gbokolenken Yele Communities
Northwest,Port Loko,Koya (Port Loko) Chiefdom,Masiaka (Koya) CHC,Koya (Port Loko) Communities
Western,Western Area Urban,Freetown City Council,Choithrams Memorial Hospital,West 3 Communities
Eastern,Kailahun,Peje Bongre Chiefdom,Manowa CHC,Peje Bongre Communities
Southern,Moyamba,Kori Chiefdom,Njala University Hospital,Kori Communities
Northern,Falaba,Neya Chiefdom,Kurubonla CHC,Neya Communities
Northwest,Karene,Tambaka Yobangie Chiefdom,Fintonia CHC,Tambaka Yobangie Communities
Western,Western Area Rural,Waterloo Rural Zone,Grafton CHC,Waterloo Rural Communities
Eastern,Kono,Sandor Chiefdom,Kayima CHC,Sandor Communities
Southern,Bonthe,Bum Chiefdom,Madina (Bum) CHC,Bum Communities
Northern,Koinadugu,Sengbeh Chiefdom,Koinadugu 2 CHC,Sengbeh Communities
Northwest,Kambia,Masumgbala Chiefdom,Kania CHC,Masumgbala Communities
Western,Western Area Urban,Freetown City Council,Wilberforce 34 Military Hospital,West 3 Communities
Eastern,Kenema,Nongowa Chiefdom,Government Maternity and Children's Hospital Hangha,Nongowa Communities
Southern,Bo,Tikonko Chiefdom,Gondama (Tikonko) CHC,Tikonko Communities
Northern,Bombali,Kamaranka Chiefdom,Kamaranka CHC,Kamaranka Communities
Northwest,Port Loko,Masimera Chiefdom,Rokassa CHC,Masimera Communities
Western,Western Area Rural,York Rural Zone,Tombo (York Rural) CHC,York Rural Communities
Eastern,Kailahun,Upper Bambara Chiefdom,Pendembu (Upper Bambara) CHC,Upper Bambara Communities
Southern,Pujehun,Barri Chiefdom,Potoru CHC,Barri Communities
Northern,Tonkolili,Kunike Sanda Chiefdom,Masingbi CHC,Kunike Sanda Communities
Northwest,Karene,Romende Chiefdom,Rokamba MCHP,Romende Communities
Western,Western Area Urban,Freetown City Council,St Mary's Immaculate Hospital,Central 2 Communities
Eastern,Kono,Lei Chiefdom,Komba Yendeh CHC,Lei Communities
Southern,Moyamba,Lower Banta Chiefdom,Gbangbatoke CHC,Lower Banta Communities
Northern,Falaba,Mongo Chiefdom,Mongo Bendugu CHC,Mongo Communities
Northwest,Kambia,Dixon Chiefdom,Fodaya MCHP,Dixon Communities
Western,Western Area Rural,Koya Rural Zone,Songo CHC,Koya Rural Communities
Eastern,Kenema,Dodo Chiefdom,Dodo CHC,Dodo Communities
Southern,Bonthe,Kpanda Kemoh Chiefdom,Mottuo CHC,Kpanda Kemoh Communities
Northern,Bombali,Gbendembu Chiefdom,Gbendembu CHC,Gbendembu Communities
Northwest,Port Loko,Maforki Chiefdom,Rogbere Junction CHC,Maforki Communities
Western,Western Area Urban,Freetown City Council,Kissy CHC,East 3 Communities
Eastern,Kailahun,Malema Chiefdom,Jojoima CHC,Malema Communities
Southern,Bo,Wonde Chiefdom,Gboyama CHC,Wonde Communities
Northern,Tonkolili,Simiria Chiefdom,Mabontor CHC,Simiria Communities
Northwest,Karene,Sanda Tendaren Chiefdom,Mabunduka CHC,Sanda Tendaren Communities
